axis	band	kind	key	en	ru	es	fr	ar
EI		dimension-name	EI.dimName.0	Response speed to a question	Скорость ответа на вопрос	Velocidad de respuesta a una pregunta	Vitesse de réponse à une question	سرعة الاستجابة على السؤال
EI		dimension-name	EI.dimName.1	Socialization (number of contacts)	Социализация (кол-во контактов)	Socialización (número de contactos)	Socialisation (nombre de contacts)	التواصل الاجتماعي (عدد جهات الاتصال)
EI		dimension-name	EI.dimName.2	Flexibility in work matters	Гибкость в рабочих вопросах	Flexibilidad en asuntos laborales	Flexibilité dans les questions professionnelles	المرونة في الشؤون المهنية
EI		dimension-name	EI.dimName.3	Openness / closedness	Раскрепощённость / замкнутость	Apertura / introversión	Ouverture / introversion	الانفتاح / الانطواء
EI		dimension-name	EI.dimName.4	Conversation style	Стиль ведения беседы	Estilo de conversación	Style de conversation	أسلوب المحادثة
EI		dimension-name	EI.dimName.5	Attitude toward meetings and public speaking	Отношение к собраниям, публичные выступления	Actitud hacia las reuniones y la oratoria pública	Attitude envers les réunions et les prises de parole en public	الموقف من الاجتماعات والخطابة العامة
EI		dimension-name	EI.dimName.6	Openness to sharing new ideas	Открытость делиться новыми идеями	Disposición para compartir nuevas ideas	Ouverture au partage de nouvelles idées	الانفتاح على مشاركة الأفكار الجديدة
EI		dimension-name	EI.dimName.7	Speaker or listener	Спикер или слушатель	Orador o oyente	Orateur ou auditeur	متحدث أم مستمع
EI		dimension-name	EI.dimName.8	Thinking style (public vs. independent)	Стиль размышления (публичный, самостоятельный)	Estilo de pensamiento (público vs. independiente)	Style de réflexion (public vs. indépendant)	أسلوب التفكير (عام أم مستقل)
EI		dimension-name	EI.dimName.9	Attitude toward praise	Отношение к похвале	Actitud hacia los elogios	Attitude envers les compliments	الموقف من الإطراء
EI	E_81-100	band-label	EI.E_81-100.label	Maximum Extravert	Максимальный Экстраверт	Extravertido Máximo	Extraverti Maximum	انبساطي أقصى
EI	E_81-100	description	EI.E_81-100.dim.0	Responds before thinking, may contradict themselves in answers, and becomes irritated when others do not reply immediately.	Сперва отвечает на вопрос, потом думает, в ответах может противоречить сам себе, раздражается если люди не отвечают сразу.	Responde antes de pensar, puede contradecirse en sus respuestas y se irrita cuando los demás no contestan de inmediato.	Répond avant de réfléchir, peut se contredire dans ses réponses et s'irrite lorsque les autres ne répondent pas immédiatement.	يجيب قبل أن يفكر، وقد يتناقض مع نفسه في إجاباته، ويستشيط غضبًا حين لا يرد عليه الآخرون فورًا.
EI	E_81-100	description	EI.E_81-100.dim.1	Prefers spending time in the largest and noisiest groups possible, and often cannot remember the names of their many acquaintances and friends.	Предпочитает проводить время в максимально больших и шумных компаниях, не помнит имена своих многочисленных знакомых и друзей.	Prefiere pasar el tiempo en grupos lo más grandes y ruidosos posible, y a menudo no recuerda los nombres de sus numerosos conocidos y amigos.	Préfère passer du temps dans des groupes aussi grands et bruyants que possible, et ne se souvient souvent pas des noms de ses nombreuses connaissances et amis.	يفضل قضاء وقته في أكبر المجموعات وأكثرها صخبًا، وكثيرًا ما لا يتذكر أسماء معارفه وأصدقائه الكثيرين.
EI	E_81-100	description	EI.E_81-100.dim.2	If a situation displeases them, they may flare up and will not calm down until the situation changes, drawing in as many people as possible to help effect that change.	Если ситуация его не устраивает, может вспылить и не успокоится, пока не поменяет ситуацию, привлечёт к изменению ситуации всех, кого может.	Si una situación no le agrada, puede estallar y no se calmará hasta que cambie la situación, involucrando a tantas personas como sea posible para lograrlo.	Si une situation lui déplaît, il peut s'emporter et ne se calmera pas tant que la situation n'a pas changé, entraînant autant de personnes que possible dans ce changement.	إذا أزعجته موقفٌ ما، قد ينفجر غضبًا ولا يهدأ حتى يغيّر الوضع، ساعيًا إلى إشراك أكبر عدد ممكن من الناس في إحداث هذا التغيير.
EI	E_81-100	description	EI.E_81-100.dim.3	Most people find them excessively uninhibited; they frequently violate others' personal boundaries.	Большинство людей считают его излишне раскрепощённым, часто нарушает личные границы людей.	La mayoría de la gente lo considera excesivamente desinhibido; con frecuencia invade los límites personales de los demás.	La plupart des gens le trouvent excessivement désinhibé ; il empiète fréquemment sur les limites personnelles des autres.	يعتبره معظم الناس منفلتًا بشكل مفرط؛ إذ يتجاوز حدود الآخرين الشخصية باستمرار.
EI	E_81-100	description	EI.E_81-100.dim.4	Often interrupts others during conversations, can participate in several discussions simultaneously, and talk on the phone at the same time.	Часто прерывает собеседника во время разговора, одновременно может участвовать в нескольких беседах и говорить по телефону.	Interrumpe a menudo a su interlocutor durante las conversaciones, puede participar en varias charlas simultáneamente y hablar por teléfono al mismo tiempo.	Interrompt souvent son interlocuteur en pleine conversation, peut participer à plusieurs échanges simultanément et parler au téléphone en même temps.	كثيرًا ما يقاطع محاوره أثناء الحديث، وقد يشارك في عدة نقاشات في آنٍ واحد مع الحديث في الهاتف في الوقت ذاته.
