qid	axis	type	kind	optionId	key	score	en	ru	es	fr	ar
Q001	EI	wordselect	question				Usually, you are:	Обычно Вы:	Normalmente usted es:	Habituellement, vous êtes :	عادةً أنت:
Q001	EI	wordselect	option	a	E	2	sociable	общительны	sociable	sociable	اجتماعي
Q001	EI	wordselect	option	b	I	2	quite reserved and calm	довольно сдержанны и спокойны.	bastante reservado y tranquilo	plutôt réservé et calme	هادئ ومتحفظ إلى حد ما
Q002	SN	wordselect	question				If you were a teacher, which subject would you want to teach:	Если бы Вы были преподавателем, какой курс Вы бы предпочли:	Si fuera profesor, ¿qué tipo de curso preferiría:	Si vous étiez enseignant, quel type de cours préféreriez-vous :	لو كنت معلماً، أي نوع من الدورات تفضل:
Q002	SN	wordselect	option	a	S	2	subject based on presenting facts	построенный на изложении фактов	basado en la presentación de hechos	basé sur l'exposé des faits	يقوم على عرض الحقائق
Q002	SN	wordselect	option	b	N	2	subject that discusses theories	включающий в себя изложение теорий.	que incluye la presentación de teorías	qui inclut l'exposé des théories	يتضمن عرض النظريات
Q003	FT	wordselect	question				Often, you let:	Вы чаще позволяете:	Con más frecuencia usted permite que:	Le plus souvent, vous laissez :	في أغلب الأحيان تسمح لـ:
Q003	FT	wordselect	option	a	F	2	your heart guide your mind	своему сердцу управлять разумом	su corazón guíe su mente	votre cœur guider votre raison	قلبك يوجه عقلك
Q003	FT	wordselect	option	b	T	1	your mind guide your heart	своему разуму управлять сердцем.	su mente guíe su corazón	votre raison guider votre cœur	عقلك يوجه قلبك
Q004	JP	wordselect	question				When you go somewhere for the whole day, you:	Когда Вы отправляетесь куда-то на весь день, Вы:	Cuando sale a algún lugar por todo el día, usted:	Quand vous partez quelque part pour toute la journée, vous :	عندما تذهب إلى مكان ما لليوم بأكمله، أنت:
Q004	JP	wordselect	option	a	J	2	you plan your whole day ahead	планируете, что и когда будете делать	planifica qué y cuándo hará las cosas	planifiez ce que vous ferez et quand	تخطط لما ستفعله ومتى
Q004	JP	wordselect	option	b	P	2	go without a specific plan	уходите без определенного плана.	sale sin un plan específico	partez sans plan précis	تغادر بدون خطة محددة
Q005	EI	wordselect	question				When in a group, you usually:	Находясь в компании, Вы обычно:	Cuando está en compañía, usted generalmente:	En groupe, vous avez tendance à :	عند وجودك في مجموعة، عادةً أنت:
Q005	EI	wordselect	option	a	E	1	join the general conversation	присоединяетесь к общему разговору	se une a la conversación general	vous joignez à la conversation générale	تنضم إلى الحديث العام
Q005	EI	wordselect	option	b	I	2	chat one-on-one with someone from time to time	беседуете время от времени с кем-то одним.	conversa de vez en cuando con alguien en particular	discutez de temps en temps avec une seule personne	تتحدث من وقت لآخر مع شخص واحد
Q006	NS	wordselect	question				It is easier for you to get along with people who:	Вам легче поладить с людьми:	Le resulta más fácil llevarse bien con personas que son:	Il vous est plus facile de vous entendre avec des personnes qui sont :	من الأسهل لك التعامل مع الأشخاص الذين:
Q006	NS	wordselect	option	a	N	2	have a rich imagination	имеющими богатое воображение	tienen una imaginación rica	ont une riche imagination	يمتلكون خيالاً خصباً
Q006	NS	wordselect	option	b	S	1	are realists	реалистичными.	realistas	réalistes	واقعيين
Q007	FT	wordselect	question				You consider it a higher praise when people refer to you as:	Более высокой похвалой Вы считаете слова:	Considera un mayor cumplido las palabras:	Vous considérez comme un plus grand compliment les mots :	تعتبر أعلى مديح الكلمات:
Q007	FT	wordselect	option	a	F	1	a warm-hearted person	душевный человек	una persona cálida	une personne chaleureuse	شخص دافئ القلب
