surface	key	en	ru
Landing	nav_how	How it works	Как работает
Landing	nav_explore	Explore	Подобрать
Landing	nav_passport	Passport	Паспорт
Landing	nav_price	Pricing	Цены
Landing	nav_faq	FAQ	Вопросы
Landing	nav_cta	Take test →	Пройти тест →
Landing	nav_specialists	Admins	Admins
Landing	badge	PSYID · Your Psychological Passport	PSYID · Ваш психологический паспорт
Landing	hero_h1a	Discover who you are	Узнайте кто вы
Landing	hero_h1b	and what career fits you	и какая карьера вам подходит
Landing	hero_p	A 15-minute assessment maps your 4 character axes, surfaces your core strengths, and shows the careers where you'll naturally excel.	Тест за 15 минут строит психологический паспорт: 4 оси характера, ваши сильные стороны и карьерные направления, в которых вы будете по-настоящему эффективны.
Landing	hero_cta	Take the free assessment	Пройти тест бесплатно
Landing	hero_sample	View sample	Смотреть пример
Landing	hero_free	Free	Бесплатно
Landing	hero_min	15 minutes	15 минут
Landing	hero_instant	instant results	результат сразу
Landing	radar_energy	Energy	Энергия
Landing	radar_attention	Attention	Внимание
Landing	radar_decisions	Decisions	Решения
Landing	radar_structure	Structure	Структура
Landing	profile_label	Profile ·	Профиль ·
Landing	profile_demo	Dreamer-Explorer	Мечтатель-исследователь
Landing	feat1_t	Psychological Passport	Психологический паспорт
Landing	feat1_d	24 pages — digital and print. Clear, honest language — no clinical jargon.	24 страницы — печатный и цифровой. Понятный язык без клинического жаргона.
Landing	feat2_t	Strengths Map	Карта сильных сторон
Landing	feat2_d	What you genuinely do best, where to direct your energy, and where to stop forcing it.	Что вам на самом деле даётся лучше всего, куда направлять усилия, а где — отпустить.
Landing	feat3_t	Career Directions	Карьерные направления
Landing	feat3_d	Roles, industries, and work styles where you'll actually be at your best.	Роли, сферы и стили работы, в которых вы будете действительно эффективны.
Landing	how_tag	How it works	Как это работает
Landing	how_h2a	Three steps to a	Три шага — и у вас в руках
Landing	how_h2b	passport	паспорт
Landing	how_h2c	, not a label.	, а не ярлык.
Landing	how_p	No clinical questionnaires or scary jargon. You work through a series of real-life scenarios.	Никаких клинических опросников и пугающей лексики. Вы проходите серию жизненных сценариев.
Landing	step1_l	Step 01	Шаг 01
Landing	step1_t	You take the assessment	Вы проходите тест
Landing	step1_d	15 minutes on any device. Not a quiz — a series of real-life scenarios most people find surprisingly enjoyable.	15 минут на любом экране. Не опросник, а серия жизненных сценариев — большинству людей на удивление нравится.
Landing	step2_l	Step 02	Шаг 02
Landing	step2_t	We build your passport	Мы строим паспорт
Landing	step2_d	Your answers map onto 4 character axes. Every statement is reviewed by a psychologist, with a confidence score for each insight.	Ответы ложатся в 4 оси характера. Каждое утверждение прошло экспертизу, у каждого вывода — оценка уверенности.
Landing	step3_l	Step 03	Шаг 03
Landing	step3_t	You see your map	Вы видите карту
Landing	step3_d	Digital passport the same day. Print within a week. Inside: strengths, career directions, and 3 experiments to try this month.	Цифровой паспорт в тот же день. Печатный — через неделю. Внутри: сильные стороны, карьерные пути и 3 эксперимента на ближайший месяц.
Landing	explore_tag	Try it · 20 seconds	Попробуйте · 20 секунд
Landing	explore_h2a	Build your profile across	Соберите профиль по
Landing	explore_h2b	4 axes	4 осям
Landing	explore_p	Move the dots on each axis — the shape shifts and a live description appears. That's how the passport works, just 24 pages deeper.	Двигайте точки на каждой оси — фигура меняется и появляется живое описание. Так и работает паспорт, только на 24 страницы глубже.
Landing	axis_energy_title	Energy	Энергия
Landing	axis_energy_sub	how you recharge	как восстанавливаетесь
Landing	axis_energy_left	Alone	В одиночестве
Landing	axis_energy_right	With others	С другими
Landing	axis_attn_title	Attention	Внимание
Landing	axis_attn_sub	where it naturally goes	на что направлено
Landing	axis_attn_left	Facts	Факты
Landing	axis_attn_right	Ideas	Идеи
Landing	axis_decs_title	Decisions	Решения
Landing	axis_decs_sub	what they're based on	на чём основаны
Landing	axis_decs_left	Logic	Логика
Landing	axis_decs_right	Feelings	Чувства
Landing	axis_struct_title	Structure	Структура
Landing	axis_struct_sub	what feels natural	что комфортнее
Landing	axis_struct_left	Plan	План
Landing	axis_struct_right	Flow	Свобода
Landing	inside_tag	Inside the Passport	Внутри паспорта
Landing	inside_h2a	Six things you'll	Шесть вещей, которые вы
Landing	inside_h2b	discover	узнаете
Landing	inside_p	Each section answers a question people actually ask before taking the assessment.	Каждый раздел отвечает на вопрос, который нам задают до прохождения теста.
Landing	chip1	How you connect with new people	Как вы знакомитесь с новыми людьми
Landing	chip2	How you make decisions under pressure	Как принимаете решения под давлением
Landing	chip3	What actually recharges you	Что на самом деле вас восстанавливает
Landing	chip4	Where to push yourself, where to let go	Где давить на себя, где отпустить
